/* DATA DESCRIPTION:
Citation:	Naafs, Bernhard David A; Hefter, Jens; Acton, Gary D; Haug, Gerald H; Martinez-Garcia, Alfredo; Pancost, Richard D; Stein, Ruediger (2012): Concentrations and accumulation rates of biomarkers and SSTs at IODP Site 306-U1313. PANGAEA, https://doi.org/10.1594/PANGAEA.757946, 
	In supplement to: Naafs, BDA et al. (2012): Strengthening of North American dust sources during the late Pliocene (2.7 Ma). Earth and Planetary Science Letters, 317-318, 8-19, https://doi.org/10.1016/j.epsl.2011.11.026
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: http://www.iodp.org/)
Coverage:	LATITUDE: 41.000000 * LONGITUDE: -32.957300
	DATE/TIME START: 2004-03-28T00:00:00 * DATE/TIME END: 2004-04-02T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.00 m * MAXIMUM DEPTH, sediment/rock: 144.82 m
Event(s):	306-U1313 * LATITUDE: 41.000000 * LONGITUDE: -32.957300 * DATE/TIME START: 2004-03-28T00:00:00 * DATE/TIME END: 2004-04-02T00:00:00 * ELEVATION: -3426.0 m * CAMPAIGN: Exp306 (North Atlantic Climate 2) (URI: https://doi.org/10.2204/iodp.proc.303306.2006) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Composite Core (COMPCORE)
Comment:	DEPTH, sediment (m) is given in mbsf.
Parameter(s):	Sample code/label (Sample label) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
	Sample code/label 2 (Sample label 2) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001) * COMMENT: A/W referes to work or archive half
	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Depth, composite [mcd] (Depth comp) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk) * METHOD: Intercore correlation
	Depth, composite, adjusted [amcd] (Depth adj mcd) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk) * METHOD: Intercore correlation
	AGE [ka BP] (Age) * GEOCODE
	Sedimentation rate [cm/ka] (Sed rate) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk) * METHOD: Calculated
	n-Alkane, non reworked [ng/g] (n-Alkane non-rew) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
	Accumulation rate, n-Alkane, non-reworked [ng/cm**2/ka] (Acc rate n-Alkane non-rew) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
	C26-alkan-1-ol [ng/g] (C26-alkan-1-ol) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
	Accumulation rate, C26-alkan-1-ol [ng/cm**2/ka] (Acc rate C26-alkan-1-ol) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	21096 data points
*/
Sample label	Sample label 2	Depth [m]	Depth comp [mcd]	Depth adj mcd [amcd]	Age [ka BP]	Sed rate [cm/ka]	n-Alkane non-rew [ng/g]	Acc rate n-Alkane non-rew [ng/cm**2/ka]	C26-alkan-1-ol [ng/g]	Acc rate C26-alkan-1-ol [ng/cm**2/ka]	SST (1-12) [°C]
50021109	306-U1313C-2H-2A,116-118	5.36	5.79	5.84	114.21	3.75	88.47	250.31			15.73
50021110	306-U1313C-2H-2A,118-120	5.38	5.81	5.86	114.74	3.75	38.56	111.44			
50021111	306-U1313C-2H-2A,120-122	5.40	5.83	5.88	115.27	3.75	53.48	153.01			16.28
50021112	306-U1313C-2H-2A,122-124	5.42	5.85	5.90	115.81	3.75	164.60	481.91			
50021113	306-U1313C-2H-2A,124-126	5.44	5.87	5.92	116.34	3.75	91.85	263.90			
50021114	306-U1313C-2H-2A,126-128	5.46	5.89	5.94	116.87	3.75	60.60	173.11			
50021115	306-U1313C-2H-2A,128-130	5.48	5.91	5.96	117.41	3.75	42.30	122.27			17.57
50021116	306-U1313C-2H-2A,130-132	5.50	5.93	5.98	117.94	3.75	51.64	146.83			
50021117	306-U1313C-2H-2A,132-134	5.52	5.95	6.00	118.47	3.75	48.33	141.09			
50021118	306-U1313C-2H-2A,134-136	5.54	5.97	6.02	119.01	3.75	46.94	138.92	26.15	77.40	
50021120	306-U1313C-2H-2A,138-140	5.58	6.01	6.06	120.07	3.75	34.75	104.56			17.48
50021201	306-U1313C-2H-3A,0-2	5.70	6.13	6.19	123.54	3.75	50.26	158.17	35.60	112.06	18.77
50021206	306-U1313C-2H-3A,10-12	5.80	6.23	6.29	126.21	3.75	50.67	158.20	41.11	128.35	18.82
50021211	306-U1313C-2H-3A,20-22	5.90	6.33	6.39	128.87	3.75	65.25	207.97			18.20
50021214	306-U1313C-2H-3A,26-28	5.96	6.39	6.45	130.47	3.75	210.52	645.29			15.37
50021217	306-U1313C-2H-3A,32-34	6.02	6.45	6.52	132.34	3.75	218.65	642.20			14.77
50021222	306-U1313C-2H-3A,42-44	6.12	6.55	6.62	135.00	3.75	132.83	344.64	138.87	360.30	14.30
50021227	306-U1313C-2H-3A,52-54	6.22	6.65	6.72	137.51	4.69	106.97	320.82			15.87
50021232	306-U1313C-2H-3A,62-64	6.32	6.75	6.83	139.86	4.69	139.42	413.36	81.83	242.62	15.64
50021237	306-U1313C-2H-3A,72-74	6.42	6.85	6.93	141.99	4.69	185.67	559.39			15.98
50021238	306-U1313C-2H-3A,74-76	6.44	6.87	6.95	142.42	4.69	305.35	872.46			16.20
50021242	306-U1313C-2H-3A,82-84	6.52	6.95	7.03	144.13	4.69	173.58	475.30	165.34	452.72	15.84
50021247	306-U1313C-2H-3A,92-94	6.62	7.05	7.13	146.26	4.69	142.41	393.32			15.13
50021252	306-U1313C-2H-3A,102-104	6.72	7.15	7.24	148.60	4.69	170.47	512.74			14.71
50021257	306-U1313C-2H-3A,112-114	6.82	7.25	7.34	150.74	4.69	148.92	485.07	123.87	403.48	14.75
50021262	306-U1313C-2H-3A,122-124	6.92	7.35	7.44	152.87	4.69	144.57	469.34			15.91
50021267	306-U1313C-2H-3A,132-134	7.02	7.45	7.55	155.22	4.69	208.35	649.03	78.65	245.00	13.39
50021272	306-U1313C-2H-3A,142-144	7.12	7.55	7.65	157.35	4.69	223.20	610.67			13.27
50021352	306-U1313C-2H-4A,2-4	7.22	7.65	7.75	159.48	4.69	140.79	422.24	138.18	414.40	14.50
50021357	306-U1313C-2H-4A,12-14	7.32	7.75	7.86	161.83	4.69	130.22	430.09			14.32
50021362	306-U1313C-2H-4A,22-24	7.42	7.85	7.94	163.54	4.69	162.23	510.64	161.20	507.42	15.17
50021367	306-U1313C-2H-4A,32-34	7.52	7.95	8.02	165.24	4.69	87.13	294.90			15.58
50021372	306-U1313C-2H-4A,42-44	7.62	8.05	8.10	166.95	4.69	89.49	332.20			15.96
50021377	306-U1313C-2H-4A,52-54	7.72	8.15	8.19	168.87	4.69	154.38	566.87			15.69
50021382	306-U1313C-2H-4A,62-64	7.82	8.25	8.27	170.57	4.69	158.99	591.15	74.64	277.53	15.64
50021387	306-U1313C-2H-4A,72-74	7.92	8.35	8.35	172.28	4.69	155.79	533.28			15.50
50021392	306-U1313C-2H-4A,82-84	8.02	8.45	8.44	174.20	4.69	225.28	715.01			14.71
50021393	306-U1313C-2H-4A,84-86	8.04	8.47	8.46	174.63	4.69	185.86	580.81			
50021394	306-U1313C-2H-4A,86-88	8.06	8.49	8.48	175.13	3.97	212.46	560.84			
50021395	306-U1313C-2H-4A,88-90	8.08	8.51	8.51	175.93	3.75	202.88	498.71			
50021396	306-U1313C-2H-4A,90-92	8.10	8.53	8.53	176.46	3.75	183.58	442.57			
50021397	306-U1313C-2H-4A,92-94	8.12	8.55	8.56	177.26	3.75	173.00	420.34			14.42
50021398	306-U1313C-2H-4A,94-96	8.14	8.57	8.58	177.80	3.75	189.06	458.23			
50021399	306-U1313C-2H-4A,96-98	8.16	8.59	8.61	178.60	3.75	147.49	348.75			
50021400	306-U1313C-2H-4A,98-100	8.18	8.61	8.63	179.13	3.75	189.85	432.25			
50021401	306-U1313C-2H-4A,100-102	8.20	8.63	8.66	179.93	3.75	176.72	395.66			14.15
50021402	306-U1313C-2H-4A,102-104	8.22	8.65	8.68	180.46	3.75	157.69	372.49			
50021403	306-U1313C-2H-4A,104-106	8.24	8.67	8.70	181.00	3.75	399.02	952.00	58.90	140.54	
50021404	306-U1313C-2H-4A,106-108	8.26	8.69	8.72	181.53	3.75	250.29	603.09			
50021405	306-U1313C-2H-4A,108-110	8.28	8.71	8.74	182.06	3.75	164.96	404.13			
50021406	306-U1313C-2H-4A,110-112	8.30	8.73	8.76	182.60	3.75	148.66	362.80			14.67
50021407	306-U1313C-2H-4A,112-114	8.32	8.75	8.78	183.13	3.75	321.98	752.16			
50021408	306-U1313C-2H-4A,114-116	8.34	8.77	8.80	183.66	3.75	236.16	553.09			
50021410	306-U1313C-2H-4A,118-120	8.38	8.81	8.84	184.73	3.75	245.97	580.43			
50021411	306-U1313C-2H-4A,120-122	8.40	8.83	8.86	185.26	3.75	273.10	634.09			14.32
50021412	306-U1313C-2H-4A,122-124	8.42	8.85	8.88	185.80	3.75	223.65	521.41			
50021413	306-U1313C-2H-4A,124-126	8.44	8.87	8.90	186.33	3.75	253.14	598.85			
50021414	306-U1313C-2H-4A,126-128	8.46	8.89	8.92	186.86	3.75	187.11	453.30			
50021415	306-U1313C-2H-4A,128-130	8.48	8.91	8.93	187.13	3.75	197.92	498.97			15.11
50021416	306-U1313C-2H-4A,130-132	8.50	8.93	8.95	187.66	3.75	324.75	877.22			
50021417	306-U1313C-2H-4A,132-134	8.52	8.95	8.97	188.20	3.75	171.43	470.38	118.02	323.84	
50021418	306-U1313C-2H-4A,134-136	8.54	8.97	8.99	188.73	3.75	396.76	1050.56			
50021419	306-U1313C-2H-4A,136-138	8.56	8.99	9.01	189.26	3.75	156.49	409.55			14.58
50021422	306-U1313C-2H-4A,142-144	8.62	9.05	9.07	190.97	3.52	79.42	223.35			16.70
50021502	306-U1313C-2H-5A,2-4	8.72	9.15	9.17	193.81	3.52	146.74	438.47	106.92	319.46	16.58
50021507	306-U1313C-2H-5A,12-14	8.82	9.25	9.26	196.37	3.52	64.28	187.29			15.73
50021512	306-U1313C-2H-5A,22-24	8.92	9.35	9.36	199.21	3.52	38.40	117.17	32.85	100.23	16.23
50021517	306-U1313C-2H-5A,32-34	9.02	9.45	9.46	202.20	3.13	60.30	162.13	27.62	74.26	17.56
50021522	306-U1313C-2H-5A,42-44	9.12	9.55	9.56	205.39	3.13	80.41	202.29			15.90
50021527	306-U1313C-2H-5A,52-54	9.22	9.65	9.66	208.59	3.13	26.76	69.82			16.41
50021532	306-U1313C-2H-5A,62-64	9.32	9.75	9.76	212.49	2.34	39.82	82.36	36.96	76.45	18.94
50021537	306-U1313C-2H-5A,72-74	9.42	9.85	9.87	217.19	2.34	66.54	140.65			17.88
50021542	306-U1313C-2H-5A,82-84	9.52	9.95	9.97	221.43	2.40	138.81	276.32			14.96
50021547	306-U1313C-2H-5A,92-94	9.62	10.05	10.07	224.99	2.81	207.38	454.20	118.26	259.02	14.66
50021552	306-U1313C-2H-5A,102-104	9.72	10.15	10.17	228.54	2.81	93.15	214.62			15.21
50021557	306-U1313C-2H-5A,112-114	9.82	10.25	10.28	232.46	2.81	55.51	126.91			16.35
50021558	306-U1313C-2H-5A,114-116	9.84	10.27	10.30	233.17	2.81	71.49	166.74	59.94	139.81	17.13
50021562	306-U1313C-2H-5A,122-124	9.92	10.35	10.38	236.00	2.86	28.93	73.22			17.12
50021567	306-U1313C-2H-5A,132-134	10.02	10.45	10.48	239.20	3.13	39.73	115.97			17.35
